유형,동사원형,과거형,과거분사형,한글 뜻(핵심어 중심),레벨
Regular (-ed),breakfast,breakfasted,breakfasted,아침을 먹다,Average
Regular (-ed),breathe,breathed,breathed,숨쉬다,Average
Regular (-ed),bridge,bridged,bridged,연결하다/다리를 놓다,Average
Regular (-ed),brush,brushed,brushed,솔질하다/스치다,Average
Regular (-ed),bully,bullied,bullied,괴롭히다,Average
Regular (-ed),bump,bumped,bumped,부딪치다/충돌하다,Average
Regular (-ed),burden,burdenned,burdenned,짐을 지우다/부담 주다,Average
Regular (-ed),bury,buried,buried,묻다/파묻다,Average
Regular (-ed),butcher,butcherred,butcherred,도살하다/망치다,Average
Regular (-ed),butter,butterred,butterred,버터를 바르다,Average
Regular (-ed),button,buttonned,buttonned,단추를 채우다,Average
Regular (-ed),buzz,buzzed,buzzed,윙윙거리다/화제가 되다,Average
Regular (-ed),calculate,calculated,calculated,계산하다,Average
Regular (-ed),call,called,called,부르다/전화하다,Easy
Regular (-ed),calm,calmed,calmed,진정시키다,Average
Regular (-ed),camp,camped,camped,캠핑하다,Average
Regular (-ed),campaign,campaigned,campaigned,운동을 벌이다/캠페인하다,Difficult
Regular (-ed),cancel,cancelled,cancelled,취소하다,Average
Regular (-ed),cap,capped,capped,한도를 정하다/뚜껑을 덮다,Average
Regular (-ed),capture,captured,captured,포획하다/포착하다,Average
Regular (-ed),care,cared,cared,돌보다/신경 쓰다,Easy
Regular (-ed),carry,carried,carried,나르다,Easy
Regular (-ed),cart,carted,carted,수레로 운반하다,Average
Regular (-ed),carve,carved,carved,조각하다/새기다,Average
Regular (-ed),catalog,catalogged,catalogged,목록을 만들다,Average
Regular (-ed),catalogue,catalogued,catalogued,목록을 만들다,Average
Regular (-ed),cater,caterred,caterred,공급하다/음식을 제공하다,Average
Regular (-ed),cause,caused,caused,일으키다,Average
Regular (-ed),caution,cautioned,cautioned,경고하다,Average
Regular (-ed),cease,ceased,ceased,멈추다/중단하다,Average
Regular (-ed),celebrate,celebrated,celebrated,축하하다,Average
Regular (-ed),censor,censorred,censorred,검열하다,Difficult
Regular (-ed),center,centerred,centerred,중심에 두다,Average
Regular (-ed),chain,chained,chained,사슬로 묶다,Average
Regular (-ed),chair,chaired,chaired,의장을 맡다,Average
